,short_name,long_name,age,club,overall,potential,defending,physic
58,D. Zakaria,Denis Lemi Zakaria Lako Lado,22,Borussia Mönchengladbach,78,86,79,82
59,Carvajal,Daniel Carvajal Ramos,27,Real Madrid,85,86,82,80
60,L. Bonucci,Leonardo Bonucci,32,Juventus,86,86,87,79
61,D. Samassékou,Diadie Samassékou,23,TSG 1899 Hoffenheim,79,86,77,77
62,I. Diop,Issa Diop,22,West Ham United,78,86,79,79
63,E. Can,Emre Can,25,Juventus,81,86,81,84
64,G. Mancini,Gianluca Mancini,23,Roma,76,86,77,75
65,D. Zagadou,Dan-Axel Zagadou,20,Borussia Dortmund,79,86,80,80
66,J. Andersen,Joachim Andersen,23,Olympique Lyonnais,78,86,78,79
67,T. Kehrer,Thilo Kehrer,22,Paris Saint-Germain,79,86,78,76
68,F. Mendy,Ferland Mendy,24,Real Madrid,80,86,75,81
69,T. Souček,Tomáš Souček,24,SK Slavia Praha,79,85,79,82
70,William Carvalho,William Silva de Carvalho,27,Real Betis,83,85,79,85
71,L. Martínez,Lisandro Martínez,21,Ajax,77,85,77,76
72,A. Witsel,Axel  Witsel,30,Borussia Dortmund,85,85,83,81
73,T. Partey,Thomas Partey,26,Atlético Madrid,82,85,79,84
74,D. Djené,Djené Dakonam Ortega,27,Getafe CF,83,85,83,79
75,Allan,Allan Marques Loureiro,28,Napoli,85,85,85,84
76,Alex Sandro,Alex Sandro Lobo Silva,28,Juventus,85,85,82,82
77,Marcelo,Marcelo Vieira da Silva Júnior,31,Real Madrid,85,85,77,79
78,B. Matuidi,Blaise Matuidi,32,Juventus,85,85,83,81
79,A. Diallo,Abdou Diallo,23,Paris Saint-Germain,79,85,78,76
80,T. Bakayoko,Tiémoué Bakayoko,24,Chelsea,80,85,79,85
81,N. Mukiele,Nordi Mukiele,21,RB Leipzig,77,85,76,76
82,B. Mendy,Benjamin Mendy,24,Manchester City,80,85,77,77
83,L. Klostermann,Lukas Klostermann,23,RB Leipzig,79,85,79,75
84,J. Denayer,Jason Denayer,24,Olympique Lyonnais,79,85,79,78
85,F. Benković,Filip Benković,21,Leicester City,76,85,75,82
86,B. Chilwell,Ben Chilwell,22,Leicester City,79,85,76,75
87,M. Demiral,Merih Demiral,21,Juventus,74,85,75,75
88,Junior Firpo,Héctor Junior Firpo Adamés,22,FC Barcelona,79,85,75,76
89,G. Dzhikiya,Georgiy Dzhikiya,25,Spartak Moscow,78,84,78,81
90,Paulinho,José Paulo Bezzera Maciel Júnior,30,Guangzhou Evergrande Taobao FC,84,84,78,85
91,N. Tagliafico,Nicolás Alejandro Tagliafico,26,Ajax,82,84,80,81
92,Pepe,Képler Laveran Lima Ferreira,36,FC Porto,84,84,85,85
93,N. Elvedi,Nico Elvedi,22,Borussia Mönchengladbach,78,84,78,75
94,Felipe,Felipe Augusto de Almeida Monteiro,30,Atlético Madrid,84,84,84,87
95,G. Kondogbia,Geoffrey Kondogbia,26,Valencia CF,81,84,78,88
96,E. Álvarez,Edson Álvarez,21,Ajax,76,84,75,75
97,J. Boateng,Jérôme Boateng,30,FC Bayern München,84,84,84,82
98,G. Wijnaldum,Georginio Wijnaldum,28,Liverpool,84,84,76,78
99,Javi Martínez,Javier Martínez Aginaga,30,FC Bayern München,84,84,86,83
100,Sokratis,Sokratis Papastathopoulos,31,Arsenal,84,84,84,83
101,O. Yokuşlu,Okay Yokuşlu,25,RC Celta,78,84,75,84
102,N. Stark,Niklas Stark,24,Hertha BSC,79,84,80,75
103,Calero,Fernando Calero Villa,23,RCD Espanyol,78,84,79,76
104,A. Doucouré,Abdoulaye Doucouré,26,Watford,81,84,79,82
105,Azpilicueta,César Azpilicueta Tanco,29,Chelsea,84,84,85,76
106,M. Sarr,Malang Sarr,20,OGC Nice,76,84,76,76
107,J. Matip,Joël Andre Job Matip,27,Liverpool,82,84,83,76
108,K. Walker,Kyle Walker,29,Manchester City,84,84,81,81
109,A. Vidal,Arturo Vidal,32,FC Barcelona,84,84,85,86
110,N. Nández,Nahitan Nández,23,Cagliari,77,84,76,83
111,L. Dendoncker,Leander Dendoncker,24,Wolverhampton Wanderers,78,84,78,83
112,A. Rüdiger,Antonio Rüdiger,26,Chelsea,82,84,82,78
113,L. Shaw,Luke Shaw,23,Manchester United,81,84,80,78
114,K. Zouma,Kurt Happy Zouma,24,Chelsea,80,84,78,83
115,N. Aké,Nathan Aké,24,Bournemouth,80,84,81,77
116,W. Ndidi,Onyinye Wilfred Ndidi,22,Leicester City,81,84,83,82
117,J. Gbamin,Jean-Philippe Gbamin,23,Everton,79,84,78,83
118,Danilo Pereira,Danilo Luís Hélio Pereira,27,FC Porto,83,83,82,85
119,V. Kompany,Vincent Kompany,33,RSC Anderlecht,83,83,84,79
120,R. Nainggolan,Radja Nainggolan,31,Cagliari,83,83,83,82
121,M. Ginter,Matthias Ginter,25,Borussia Mönchengladbach,81,83,82,77
122,E. Garay,Ezequiel Marcelo Garay,32,Valencia CF,83,83,82,81
123,Gabriel Paulista,Gabriel Armando de Abreu,28,Valencia CF,82,83,83,81
124,J. Roussillon,Jérôme Roussillon,26,VfL Wolfsburg,82,83,78,78
125,W. Orban,Willi Orban,26,RB Leipzig,81,83,82,80
126,David Luiz,David Luiz Moreira Marinho,32,Arsenal,83,83,82,77
127,A. Franco,Alan Javier Franco,22,Independiente,76,83,76,77
128,F. Acerbi,Francesco Acerbi,31,Lazio,83,83,86,82
129,T. Delaney,Thomas Delaney,27,Borussia Dortmund,82,83,83,82
130,Josué Chiamulera,Josué Durval Chiamulera Vaz,27,Grêmio,83,83,85,77
131,Rúben Vezo,Rúben Miguel Nunes Vezo,25,Levante UD,78,83,79,75
132,L. Tousart,Lucas Tousart,22,Olympique Lyonnais,78,83,79,83
133,I. Gueye,Idrissa Gana Gueye,29,Paris Saint-Germain,83,83,85,78
134,W. Anton,Waldemar Anton,22,Hannover 96,76,83,77,77
135,S. Khedira,Sami Khedira,32,Juventus,83,83,80,80
136,M. Keane,Michael Keane,26,Everton,80,83,80,79
137,N. Otamendi,Nicolás Hernán Otamendi,31,Manchester City,83,83,83,78
138,J. Henderson,Jordan Brian Henderson,29,Liverpool,83,83,78,80
139,E. Dier,Eric Dier,25,Tottenham Hotspur,79,83,80,84
140,A. Izzo,Armando Izzo,27,Torino,81,83,83,75
141,N. Milenković,Nikola Milenković,21,Fiorentina,76,83,75,81
142,E. Bailly,Eric Bailly,25,Manchester United,80,83,79,80
143,E. Pulgar,Erick Pulgar,25,Fiorentina,78,83,76,78
144,J. Lerma,Jefferson Andrés Lerma Solís,24,Bournemouth,79,83,78,80
145,Nacho Fernández,José Ignacio Fernández Iglesias,29,Real Madrid,82,83,81,79
146,Y. Mina,Yerry Mina,24,Everton,78,83,78,80
147,H. Choudhury,Hamza Choudhury,21,Leicester City,74,83,76,75
148,H. Maguire,Harry Maguire,26,Manchester United,82,83,81,84
149,Mário Fernandes,Mário Figueira Fernandes,28,PFC CSKA Moscow,82,82,81,79
150,V. Ćorluka,Vedran Ćorluka,33,Lokomotiv Moscow,82,82,81,82
151,S. Coates,Sebastián Coates Nión,28,Sporting CP,82,82,83,85
152,S. Kjær,Simon Thorup Kjær,30,Sevilla FC,82,82,81,78
153,D. Dumfries,Denzel Dumfries,23,PSV,78,82,76,87
154,Gabriel,Gabriel Appelt Pires,25,SL Benfica,80,82,76,83
155,Bruno Viana,Bruno Viana Willemen Da Silva,24,SC Braga,78,82,79,76
156,H. Herrera,Héctor Miguel Herrera López,29,Atlético Madrid,82,82,78,81
157,D. De Rossi,Daniele De Rossi,35,Boca Juniors,82,82,85,77
158,M. Hinteregger,Martin Hinteregger,26,Eintracht Frankfurt,80,82,81,80
159,Sergi Gómez,Sergi Gómez Solà,27,Sevilla FC,80,82,81,75
160,J. Murillo,Jeison Fabián Murillo Cerón,27,Sampdoria,79,82,79,80
161,I. Šunjić,Ivan Šunjić,22,Birmingham City,75,82,77,79
162,Ander Herrera,Ander Herrera Agüera,29,Paris Saint-Germain,82,82,82,77
163,F. Schär,Fabian Schär,27,Newcastle United,79,82,80,75
164,J. Brooks,John Anthony Brooks,26,VfL Wolfsburg,79,82,80,75
165,I. Amadou,Ibrahim Amadou,26,Norwich City,78,82,76,81
166,G. Maripán,Guillermo Alfonso Maripán Loaysa,25,Deportivo Alavés,78,82,78,79
167,L. Cabrera,Leandro Cabrera,27,Getafe CF,79,82,79,80
168,K. Rekik,Karim Rekik,24,Hertha BSC,78,82,78,77
169,G. Escalante,Gonzalo Escalante,26,SD Eibar,77,82,75,76
170,B. Engels,Björn Engels,24,Aston Villa,76,82,75,76
171,T. Meunier,Thomas Meunier,27,Paris Saint-Germain,82,82,78,84
172,A. Djiku,Alexander Djiku,24,RC Strasbourg Alsace,77,82,76,80
173,S. Ascacíbar,Santiago Lionel Ascacíbar,22,VfB Stuttgart,76,82,77,76
174,K. Tete,Kenny Tete,23,Olympique Lyonnais,77,82,78,77
175,M. Diakhaby,Mouctar Diakhaby,22,Valencia CF,77,82,76,77
176,A. Kolarov,Aleksandar Kolarov,33,Roma,82,82,82,79
177,D. Ćaleta-Car,Duje Ćaleta-Car,22,Olympique de Marseille,76,82,75,79
178,J. Tarkowski,James Tarkowski,26,Burnley,79,82,79,78
179,S. Kolašinac,Sead Kolašinac,26,Arsenal,79,82,75,87
180,O. Colley,Omar Colley,26,Sampdoria,77,82,75,83
181,J. Lascelles,Jamaal Lascelles,25,Newcastle United,78,82,78,80
182,L. Milivojević,Luka Milivojević,28,Crystal Palace,81,82,78,84
183,F. Guilbert,Frédéric Guilbert,24,Aston Villa,76,82,76,75
184,Juiano Mestres,Juan Everton Mestres de Mesquita,35,Cruzeiro,82,82,82,80
185,F. Balbuena,Fabián Balbuena,27,West Ham United,79,82,80,79
186,S. Gigot,Samuel Gigot,25,Spartak Moscow,76,81,76,79
187,M. Dembélé,Moussa Sidi Yaya Dembélé,31,Guangzhou R&F FC,81,81,77,80
188,M. Acuña,Marcos Javier Acuña,27,Sporting CP,81,81,76,84
189,André Almeida,André Gomes Magalhaes de Almeida,28,SL Benfica,81,81,82,82
190,Diego Carlos,Diego Carlos Santos Silva,26,Sevilla FC,79,81,78,80
191,J. Mathieu,Jérémy Mathieu,35,Sporting CP,81,81,83,81
192,Fernando,Fernando Francisco Reges,31,Sevilla FC,81,81,81,82
193,E. Velázquez,Emiliano Velázquez,25,Rayo Vallecano,75,81,76,76
194,Dani García,Daniel García Carrillo,29,Athletic Club de Bilbao,81,81,78,79
195,Iñigo Martínez,Íñigo Martínez Berridi,28,Athletic Club de Bilbao,80,81,80,78
196,Luiz Gustavo,Luiz Gustavo Dias,31,Olympique de Marseille,81,81,80,82
197,Jardel,Jardel Nivaldo Vieira,33,SL Benfica,81,81,82,79
198,R. Bensebaini,Ramy Bensebaini,24,Borussia Mönchengladbach,77,81,77,80
199,C. Kramer,Christoph Kramer,28,Borussia Mönchengladbach,80,81,77,77
200,Palhinha,João Maria Lobo Alves Palhinha Gonçalves,23,SC Braga,76,81,76,80
201,P. Kadeřábek,Pavel Kadeřábek,27,TSG 1899 Hoffenheim,80,81,75,81
202,L. Giannetti,Lautaro Giannetti,25,Vélez Sarsfield,74,81,75,77
203,J. Guilavogui,Josuha Guilavogui,28,VfL Wolfsburg,80,81,83,79
204,M. Halstenberg,Marcel Halstenberg,27,RB Leipzig,80,81,80,80
205,José Fonte,José Miguel da Rocha Fonte,35,LOSC Lille,81,81,81,76
206,S. Mustafi,Shkodran Mustafi,27,Arsenal,79,81,77,77
207,K. Amian,Kelvin Amian,21,Toulouse Football Club,75,81,75,76
208,E. Cabaco,Erick Cabaco,24,Levante UD,75,81,75,77
209,M. Kempf,Marc-Oliver Kempf,24,VfB Stuttgart,75,81,75,77
210,D. da Costa,Danny  Vieira da Costa,25,Eintracht Frankfurt,79,81,76,81
211,N. Matić,Nemanja Matić,30,Manchester United,81,81,80,78
212,M. Sissoko,Moussa Sissoko,29,Tottenham Hotspur,81,81,79,89
213,A. Soumaoro,Adama Soumaoro,27,LOSC Lille,78,81,76,83
214,S. Meïté,Soualiho Meïté,25,Torino,78,81,75,83
215,Marcos Alonso,Marcos Alonso Mendoza,28,Chelsea,81,81,79,79
216,H. Hateboer,Hans Hateboer,25,Atalanta,78,81,75,75
217,M. Parolo,Marco Parolo,34,Lazio,81,81,79,79
218,L. Piszczek,Łukasz Piszczek,34,Borussia Dortmund,81,81,82,78
219,G. Pezzella,Germán Alejandro Pezzella,28,Fiorentina,79,81,80,76
220,J. Milner,James Philip Milner,33,Liverpool,81,81,77,78
221,C. Salcedo,Carlos Salcedo,25,Tigres U.A.N.L.,77,81,77,78
222,W. Boly,Willy Boly,28,Wolverhampton Wanderers,79,81,78,82
223,T. Stepanenko,Taras Stepanenko,29,Shakhtar Donetsk,80,80,78,80
224,Ismaily,Ismaily Gonçalves dos S.,29,Shakhtar Donetsk,80,80,75,75
225,J. Mascherano,Javier Alejandro Mascherano,35,Hebei China Fortune FC,80,80,79,75
226,J. Veltman,Joël Veltman,27,Ajax,79,80,79,78
227,K. Strootman,Kevin Strootman,29,Olympique de Marseille,80,80,77,80
228,Pedro Henrique,Pedro Henrique Pereira da Silva,26,Vitória Guimarães,77,80,77,82
229,Sidnei,Sidnei Rechel da Silva Júnior,29,Real Betis,80,80,78,82
230,K. Glik,Kamil Glik,31,AS Monaco,80,80,79,82
231,S. Sané,Salif Sané,28,FC Schalke 04,80,80,80,81
232,K. Vogt,Kevin Vogt,27,TSG 1899 Hoffenheim,80,80,80,79
233,F. Coquelin,Francis Coquelin,28,Valencia CF,80,80,78,77
234,Y. M'Vila,Yann Gérard M'Vila,29,AS Saint-Étienne,80,80,75,78
235,D. Wass,Daniel Wass,30,Valencia CF,80,80,76,75
236,F. Fazio,Federico Julián Fazio,32,Roma,80,80,82,81
237,M. Sakho,Mamadou Sakho,29,Crystal Palace,79,80,78,83
238,T. Baumgartl,Timo Baumgartl,23,PSV,75,80,76,75
239,L. Bender,Lars Bender,30,Bayer 04 Leverkusen,80,80,83,77
240,D. Vida,Domagoj Vida,30,Beşiktaş JK,80,80,82,79
241,F. Lejeune,Florian Lejeune,28,Newcastle United,78,80,78,79
242,S. Arias,Santiago Arias Naranjo,27,Atlético Madrid,79,80,76,77
243,D. Bronn,Dylan Bronn,24,KAA Gent,75,80,75,76
244,S. Vrsaljko,Šime Vrsaljko,27,Atlético Madrid,80,80,79,77
245,S. Deli,Simon Deli,27,Club Brugge KV,78,80,78,79
246,M. Ngadeu,Michael Ngadeu,28,KAA Gent,78,80,78,83
247,B. Mechele,Brandon Mechele,26,Club Brugge KV,77,80,81,75
248,I. Marcone,Iván Marcone,29,Boca Juniors,80,80,75,83
249,Laguardia,Víctor Laguardia Cisneros,29,Deportivo Alavés,79,80,80,79
250,D. Rose,Danny Rose,28,Tottenham Hotspur,80,80,80,75
251,K. Ayhan,Kaan Ayhan,24,Fortuna Düsseldorf,77,80,77,75
252,S. Bender,Sven Bender,30,Bayer 04 Leverkusen,80,80,82,77
253,L. Perrin,Loïc Perrin,33,AS Saint-Étienne,80,80,81,76
254,E. Capoue,Etienne Capoue,30,Watford,80,80,78,77
255,S. Nzonzi,Steven N'Kemboanza Mike Christopher Nzonzi,30,Galatasaray SK,80,80,79,86
256,C. Smalling,Chris Smalling,29,Manchester United,80,80,79,81
257,S. Aurier,Serge Aurier,26,Tottenham Hotspur,79,80,77,76
258,Pedro Mendes,Pedro Filipe Teodósio Mendes,28,Montpellier HSC,78,80,80,79
259,D. Lovren,Dejan Lovren,29,Liverpool,80,80,80,78
260,P. Jones,Phil Jones,27,Manchester United,79,80,78,76
261,G. Rodríguez,Guido Rodríguez,24,Club América,77,80,77,79
262,S. Duffy,Shane Duffy,27,Brighton & Hove Albion,78,80,78,80
263,L. Dunk,Lewis Dunk,27,Brighton & Hove Albion,78,80,78,77
264,M. Nakamba,Marvelous Nakamba,25,Aston Villa,76,80,75,82
265,Everton Andrão,Everton Jorge Andrade Zanon,35,Fluminense,80,80,78,77
266,C. Luyindama,Christian  Luyindama Nekadio,25,Galatasaray SK,77,80,76,84
267,S. Kverkvelia,Solomon Kverkvelia,27,Lokomotiv Moscow,76,79,78,81
268,Marcano,Iván Marcano Sierra,32,FC Porto,79,79,79,75
269,A. Samaris,Andreas Samaris,30,SL Benfica,79,79,79,84
270,J. Hector,Jonas Hector,29,1. FC Köln,79,79,78,75
271,D. Criscito,Domenico Criscito,32,Genoa,79,79,79,75
272,R. Vormer,Ruud Vormer,31,Club Brugge KV,79,79,75,79
273,Yuri Berchiche,Yuri Berchiche Izeta,29,Athletic Club de Bilbao,79,79,78,81
274,N. Pallois,Nicolas Pallois,31,FC Nantes,79,79,79,84
275,Otávio,Otávio Henrique Passos Santos,25,FC Girondins de Bordeaux,76,79,77,75
276,Pablo Santos,Pablo Renan dos Santos,27,SC Braga,76,79,77,77
277,Mario Gaspar,Mario Gaspar Pérez Martínez,28,Villarreal CF,79,79,79,76
278,D. Kohr,Dominik Kohr,25,Eintracht Frankfurt,76,79,75,79
279,Raúl,Raúl Michel Melo da Silva,29,SC Braga,79,79,79,83
280,Melvin Parrela,Melvin Luan Parrela Porfírio,31,CSA - AL,79,79,80,83
281,T. Kongolo,Terence Kongolo,25,Huddersfield Town,75,79,75,75
282,W. Troost-Ekong,William Troost-Ekong,25,Udinese,75,79,76,77
283,Rubén Alcaraz,Rubén Alcaraz Jiménez,28,Real Valladolid CF,79,79,80,82
284,Bastos,Bartolomeu Jacinto Quissanga,27,Lazio,78,79,79,75
285,Maicon,Maicon Pereira Roque,30,Al Nassr,79,79,79,83
286,A. Briançon,Anthony Briançon,24,Nîmes Olympique,76,79,75,79
287,E. Pérez,Enzo Pérez,33,River Plate,79,79,75,78
288,Dante,Dante Bonfim da Costa Santos,35,OGC Nice,79,79,80,76
289,J. Vestergaard,Jannik Vestergaard,26,Southampton,78,79,80,77
290,N. Araújo,Néstor Alejandro Araújo Razo,27,RC Celta,76,79,76,77
291,R. Khedira,Rani Khedira,25,FC Augsburg,76,79,76,77
292,Rodrigo Ely,Rodrigo Ely,25,Deportivo Alavés,75,79,75,76
293,N. Maksimović,Nikola Maksimović,27,Napoli,78,79,80,78
294,D. Suárez,Damián Nicolás Suárez Suárez,31,Getafe CF,79,79,78,76
295,David López,David López Silva,29,RCD Espanyol,78,79,78,78
296,Antônio Chiamuloira,A. Benjamin Chiamuloira Paes,31,Internacional,79,79,79,78
297,Víctor Ruiz,Víctor Ruíz Torre,30,Beşiktaş JK,79,79,80,76
298,G. Shoji,昌子 源,26,Toulouse Football Club,75,79,75,77
299,C. Piccini,Cristiano Piccini,26,Valencia CF,77,79,76,76
300,C. Taylor,Charlie Taylor,25,Burnley,76,79,75,76
301,S. Lulić,Senad Lulić,33,Lazio,79,79,75,76
302,V. Wanyama,Victor Wanyama,28,Tottenham Hotspur,78,79,79,82
303,M. Škrtel,Martin Škrtel,34,Atalanta,79,79,78,82
304,J. Evans,Jonny Evans,31,Leicester City,79,79,80,75
305,Danilo,Danilo Luiz da Silva,27,Juventus,79,79,78,76
306,C. Kabasele,Christian Kabasele,28,Watford,78,79,78,77
307,S. Aziz,Serdar Aziz,28,Fenerbahçe SK,77,79,76,78
308,G. Krychowiak,Grzegorz Krychowiak,29,Lokomotiv Moscow,78,78,75,80
309,A. Granqvist,Andreas Granqvist,34,Helsingborgs IF,78,78,80,76
310,L. Fejsa,Ljubomir Fejsa,30,SL Benfica,78,78,81,80
311,S. Sturaro,Stefano Sturaro,26,Genoa,75,78,76,78
312,Mikel San José,Mikel San José Domínguez,30,Athletic Club de Bilbao,78,78,79,80
313,C. Zapata,Cristian Eduardo Zapata Valencia,32,Genoa,78,78,82,76
314,R. Battaglia,Rodrigo Andrés Battaglia,27,Sporting CP,78,78,80,80
315,R. Funes Mori,José Ramiro Funes Mori,28,Villarreal CF,77,78,76,76
316,B. Stambouli,Benjamin Stambouli,28,FC Schalke 04,78,78,79,76
317,Iborra,Vicente Iborra de la Fuente,31,Villarreal CF,78,78,77,79
318,S. Rode,Sebastian Rode,28,Eintracht Frankfurt,78,78,76,77
319,B. André,Benjamin André,28,LOSC Lille,78,78,77,82
320,Souza,Josef de Souza Dias,30,Al Ahli,78,78,78,84
321,G. Medel,Gary Alexis Medel Soto,31,Beşiktaş JK,78,78,77,84
322,D. Abraham,David Ángel Abraham,32,Eintracht Frankfurt,78,78,78,77
323,N. Domínguez,Nery Domínguez,29,Racing Club,78,78,76,77
324,M. de Roon,Marten de Roon,28,Atalanta,78,78,79,79
325,D. Da Silva,Damien Da Silva,31,Stade Rennais FC,78,78,78,76
326,J. Gouweleeuw,Jeffrey Gouweleeuw,27,FC Augsburg,78,78,80,75
327,N. Vukčević,Nikola Vukčević,27,Levante UD,75,78,75,77
328,Bruno,Bruno González Cabrera,29,Getafe CF,77,78,77,79
329,Oriol Romeu,Oriol Romeu Vidal,27,Southampton,76,78,77,77
330,C. Izquierdoz,Carlos Roberto Izquierdoz,30,Boca Juniors,78,78,78,81
331,Sidney Pessinho,Sidney Adrián Pessoa Vidigal,27,Internacional,78,78,76,81
332,Z. Feddal,Zouhair Feddal,29,Real Betis,78,78,78,75
333,J. Tomkins,James Tomkins,30,Crystal Palace,78,78,80,75
334,J. Baumgartlinger,Julian Baumgartlinger,31,Bayer 04 Leverkusen,78,78,78,81
335,A. Donatti,Alejandro Donatti,32,Racing Club,78,78,78,79
336,Rafael,Rafael Pereira da Silva,28,Olympique Lyonnais,78,78,75,78
337,Pablo,Pablo Nascimento Castro,28,FC Girondins de Bordeaux,77,78,79,77
338,M. Rojo,Faustino Marcos Alberto Rojo,29,Manchester United,78,78,76,76
339,J. Pinola,Javier Horacio Pinola,36,River Plate,78,78,77,77
340,Álvaro,Álvaro González Soberón,29,Olympique de Marseille,78,78,77,78
341,H. Sakai,酒井 宏樹,29,Olympique de Marseille,78,78,76,79
342,B. Mee,Ben Mee,29,Burnley,78,78,79,80
343,Marcelo,Marcelo Antônio Guedes Filho,32,Olympique Lyonnais,78,78,77,87
344,Manu García,Manuel Alejandro García Sánchez,33,Deportivo Alavés,78,78,77,77
345,P. Diop,Papa Kouly Diop,33,SD Eibar,78,78,78,85
346,S. Cook,Steve Cook,28,Bournemouth,78,78,78,75
347,J. Holebas,Jose Holebas,35,Watford,78,78,76,76
348,G. Pizarro,Guido Pizarro,29,Tigres U.A.N.L.,78,78,76,84
349,P. Wernbloom,Pontus Wernbloom,33,PAOK,77,77,77,81
350,Varela,Fernando Lopes dos Santos Varela,31,PAOK,77,77,76,82
351,A. Wakaso,Alhassan Wakaso,27,Vitória Guimarães,76,77,77,83
352,S. De Maio,Sebastian De Maio,32,Udinese,77,77,79,79
353,T. Strobl,Tobias Strobl,29,Borussia Mönchengladbach,77,77,79,77
354,Javi García,Francisco Javier  García Fernández,32,Real Betis,77,77,76,82
355,Y. Gómez Andrade,Yeimar Pastor Gómez Andrade,27,Unión de Santa Fe,76,77,76,85
356,R. Civelli,Renato Civelli,35,Club Atlético Banfield,77,77,76,84
357,Jemerson,Jemerson de Jesus Nascimento,26,AS Monaco,75,77,76,75
358,E. Bičakčić,Ermin Bičakčić,29,TSG 1899 Hoffenheim,77,77,78,78
359,L. Magallán,Lisandro Magallán,25,Ajax,75,77,75,79
360,N. Subotić,Neven Subotić,30,1. FC Union Berlin,77,77,80,76
361,T. Monconduit,Thomas Monconduit,28,Amiens SC,76,77,75,77
